cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413124888,68492,626722482,144062,413061716,0,6274860,413061716,92992,0,540475392,45639049216,907034624,4063966160
aten::_flash_attention_forward,629812,0,1370720,536770,565248,0,0,565248,336896,0,33554432,167772160,41418752,737280
aten::cat,595760,0,1078325,865574,573448,0,8,573448,573456,0,0,0,0,0
aten::mul,265464,0,1244420,163761,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137096,0,882102,1085,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127836,0,706384,76846,49964,0,0,49964,49939,0,0,0,0,0
aten::add,100580,0,384707,51357,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43780,0,305058,13276,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,129872,50925,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35236,0,138991,35205,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12972,0,102005,975,130,0,0,130,65,0,0,0,0,0
aten::all,1688,0,13524,16,2,0,1,2,1,0,0,0,0,0
aten::cos,1260,0,9970,34,16,0,0,16,16,0,0,0,0,0
aten::sin,1256,0,9906,34,16,0,0,16,16,0,0,0,0,0
aten::index_select,420,0,1782,410,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,21,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
